ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP6501EW0001,Count,Person,"Pob categori: Galwedigaeth, Pob categori: Lefel uchaf o gymhwyster"
WP6501EW0002,Count,Person,"Pob categori: Galwedigaeth, Dim cymwysterau"
WP6501EW0003,Count,Person,"Pob categori: Galwedigaeth, Cymwysterau lefel 1"
WP6501EW0004,Count,Person,"Pob categori: Galwedigaeth, Cymwysterau lefel 2"
WP6501EW0005,Count,Person,"Pob categori: Galwedigaeth, Cymwysterau lefel 3"
WP6501EW0006,Count,Person,"Pob categori: Galwedigaeth, Cymwysterau lefel 4 ac uwch"
WP6501EW0007,Count,Person,"Pob categori: Galwedigaeth, Prentisiaethau a chymwysterau eraill"
WP6501EW0008,Count,Person,"1. Rheolwyr, cyfarwyddwyr ac uwch swyddogion, Pob categori: Lefel uchaf o gymhwyster"
WP6501EW0009,Count,Person,"1. Rheolwyr, cyfarwyddwyr ac uwch swyddogion, Dim cymwysterau"
WP6501EW0010,Count,Person,"1. Rheolwyr, cyfarwyddwyr ac uwch swyddogion, Cymwysterau lefel 1"
WP6501EW0011,Count,Person,"1. Rheolwyr, cyfarwyddwyr ac uwch swyddogion, Cymwysterau lefel 2"
WP6501EW0012,Count,Person,"1. Rheolwyr, cyfarwyddwyr ac uwch swyddogion, Cymwysterau lefel 3"
WP6501EW0013,Count,Person,"1. Rheolwyr, cyfarwyddwyr ac uwch swyddogion, Cymwysterau lefel 4 ac uwch"
WP6501EW0014,Count,Person,"1. Rheolwyr, cyfarwyddwyr ac uwch swyddogion, Prentisiaethau a chymwysterau eraill"
WP6501EW0015,Count,Person,"2. Galwedigaethau proffesiynol, Pob categori: Lefel uchaf o gymhwyster"
WP6501EW0016,Count,Person,"2. Galwedigaethau proffesiynol, Dim cymwysterau"
WP6501EW0017,Count,Person,"2. Galwedigaethau proffesiynol, Cymwysterau lefel 1"
WP6501EW0018,Count,Person,"2. Galwedigaethau proffesiynol, Cymwysterau lefel 2"
WP6501EW0019,Count,Person,"2. Galwedigaethau proffesiynol, Cymwysterau lefel 3"
WP6501EW0020,Count,Person,"2. Galwedigaethau proffesiynol, Cymwysterau lefel 4 ac uwch"
WP6501EW0021,Count,Person,"2. Galwedigaethau proffesiynol, Prentisiaethau a chymwysterau eraill"
WP6501EW0022,Count,Person,"3. Galwedigaethau proffesiynol a thechnegol cyswllt, Pob categori: Lefel uchaf o gymhwyster"
WP6501EW0023,Count,Person,"3. Galwedigaethau proffesiynol a thechnegol cyswllt, Dim cymwysterau"
WP6501EW0024,Count,Person,"3. Galwedigaethau proffesiynol a thechnegol cyswllt, Cymwysterau lefel 1"
WP6501EW0025,Count,Person,"3. Galwedigaethau proffesiynol a thechnegol cyswllt, Cymwysterau lefel 2"
WP6501EW0026,Count,Person,"3. Galwedigaethau proffesiynol a thechnegol cyswllt, Cymwysterau lefel 3"
WP6501EW0027,Count,Person,"3. Galwedigaethau proffesiynol a thechnegol cyswllt, Cymwysterau lefel 4 ac uwch"
WP6501EW0028,Count,Person,"3. Galwedigaethau proffesiynol a thechnegol cyswllt, Prentisiaethau a chymwysterau eraill"
WP6501EW0029,Count,Person,"4. Galwedigaethau gweinyddol ac ysgrifenyddol, Pob categori: Lefel uchaf o gymhwyster"
WP6501EW0030,Count,Person,"4. Galwedigaethau gweinyddol ac ysgrifenyddol, Dim cymwysterau"
WP6501EW0031,Count,Person,"4. Galwedigaethau gweinyddol ac ysgrifenyddol, Cymwysterau lefel 1"
WP6501EW0032,Count,Person,"4. Galwedigaethau gweinyddol ac ysgrifenyddol, Cymwysterau lefel 2"
WP6501EW0033,Count,Person,"4. Galwedigaethau gweinyddol ac ysgrifenyddol, Cymwysterau lefel 3"
WP6501EW0034,Count,Person,"4. Galwedigaethau gweinyddol ac ysgrifenyddol, Cymwysterau lefel 4 ac uwch"
WP6501EW0035,Count,Person,"4. Galwedigaethau gweinyddol ac ysgrifenyddol, Prentisiaethau a chymwysterau eraill"
WP6501EW0036,Count,Person,"5. Galwedigaethau crefftau medrus, Pob categori: Lefel uchaf o gymhwyster"
WP6501EW0037,Count,Person,"5. Galwedigaethau crefftau medrus, Dim cymwysterau"
WP6501EW0038,Count,Person,"5. Galwedigaethau crefftau medrus, Cymwysterau lefel 1"
WP6501EW0039,Count,Person,"5. Galwedigaethau crefftau medrus, Cymwysterau lefel 2"
WP6501EW0040,Count,Person,"5. Galwedigaethau crefftau medrus, Cymwysterau lefel 3"
WP6501EW0041,Count,Person,"5. Galwedigaethau crefftau medrus, Cymwysterau lefel 4 ac uwch"
WP6501EW0042,Count,Person,"5. Galwedigaethau crefftau medrus, Prentisiaethau a chymwysterau eraill"
WP6501EW0043,Count,Person,"6. Galwedigaethau gofalu, hamdden a galwedigaethau gwasanaethau eraill, Pob categori: Lefel uchaf o gymhwyster"
WP6501EW0044,Count,Person,"6. Galwedigaethau gofalu, hamdden a galwedigaethau gwasanaethau eraill, Dim cymwysterau"
WP6501EW0045,Count,Person,"6. Galwedigaethau gofalu, hamdden a galwedigaethau gwasanaethau eraill, Cymwysterau lefel 1"
WP6501EW0046,Count,Person,"6. Galwedigaethau gofalu, hamdden a galwedigaethau gwasanaethau eraill, Cymwysterau lefel 2"
WP6501EW0047,Count,Person,"6. Galwedigaethau gofalu, hamdden a galwedigaethau gwasanaethau eraill, Cymwysterau lefel 3"
WP6501EW0048,Count,Person,"6. Galwedigaethau gofalu, hamdden a galwedigaethau gwasanaethau eraill, Cymwysterau lefel 4 ac uwch"
WP6501EW0049,Count,Person,"6. Galwedigaethau gofalu, hamdden a galwedigaethau gwasanaethau eraill, Prentisiaethau a chymwysterau eraill"
WP6501EW0050,Count,Person,"7. Galwedigaethau gwerthu a gwasanaethau cwsmeriaid, Pob categori: Lefel uchaf o gymhwyster"
WP6501EW0051,Count,Person,"7. Galwedigaethau gwerthu a gwasanaethau cwsmeriaid, Dim cymwysterau"
WP6501EW0052,Count,Person,"7. Galwedigaethau gwerthu a gwasanaethau cwsmeriaid, Cymwysterau lefel 1"
WP6501EW0053,Count,Person,"7. Galwedigaethau gwerthu a gwasanaethau cwsmeriaid, Cymwysterau lefel 2"
WP6501EW0054,Count,Person,"7. Galwedigaethau gwerthu a gwasanaethau cwsmeriaid, Cymwysterau lefel 3"
WP6501EW0055,Count,Person,"7. Galwedigaethau gwerthu a gwasanaethau cwsmeriaid, Cymwysterau lefel 4 ac uwch"
WP6501EW0056,Count,Person,"7. Galwedigaethau gwerthu a gwasanaethau cwsmeriaid, Prentisiaethau a chymwysterau eraill"
WP6501EW0057,Count,Person,"8. Gweithredwyr prosesau, offer a pheiriannau, Pob categori: Lefel uchaf o gymhwyster"
WP6501EW0058,Count,Person,"8. Gweithredwyr prosesau, offer a pheiriannau, Dim cymwysterau"
WP6501EW0059,Count,Person,"8. Gweithredwyr prosesau, offer a pheiriannau, Cymwysterau lefel 1"
WP6501EW0060,Count,Person,"8. Gweithredwyr prosesau, offer a pheiriannau, Cymwysterau lefel 2"
WP6501EW0061,Count,Person,"8. Gweithredwyr prosesau, offer a pheiriannau, Cymwysterau lefel 3"
WP6501EW0062,Count,Person,"8. Gweithredwyr prosesau, offer a pheiriannau, Cymwysterau lefel 4 ac uwch"
WP6501EW0063,Count,Person,"8. Gweithredwyr prosesau, offer a pheiriannau, Prentisiaethau a chymwysterau eraill"
WP6501EW0064,Count,Person,"9. Galwedigaethau elfennol, Pob categori: Lefel uchaf o gymhwyster"
WP6501EW0065,Count,Person,"9. Galwedigaethau elfennol, Dim cymwysterau"
WP6501EW0066,Count,Person,"9. Galwedigaethau elfennol, Cymwysterau lefel 1"
WP6501EW0067,Count,Person,"9. Galwedigaethau elfennol, Cymwysterau lefel 2"
WP6501EW0068,Count,Person,"9. Galwedigaethau elfennol, Cymwysterau lefel 3"
WP6501EW0069,Count,Person,"9. Galwedigaethau elfennol, Cymwysterau lefel 4 ac uwch"
WP6501EW0070,Count,Person,"9. Galwedigaethau elfennol, Prentisiaethau a chymwysterau eraill"
