ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
WP6110EW0001,Count,Person,"Pob categori: Diwydiant, Pob categori: 16 i 74 oed"
WP6110EW0002,Count,Person,"Pob categori: Diwydiant, 16 i 19 oed"
WP6110EW0003,Count,Person,"Pob categori: Diwydiant, 20 i 24 oed"
WP6110EW0004,Count,Person,"Pob categori: Diwydiant, 25 i 29 oed"
WP6110EW0005,Count,Person,"Pob categori: Diwydiant, 30 i 34 oed"
WP6110EW0006,Count,Person,"Pob categori: Diwydiant, 35 i 39 oed"
WP6110EW0007,Count,Person,"Pob categori: Diwydiant, 40 i 44 oed"
WP6110EW0008,Count,Person,"Pob categori: Diwydiant, 45 i 49 oed"
WP6110EW0009,Count,Person,"Pob categori: Diwydiant, 50 i 54 oed"
WP6110EW0010,Count,Person,"Pob categori: Diwydiant, 55 i 59 oed"
WP6110EW0011,Count,Person,"Pob categori: Diwydiant, 60 i 64 oed"
WP6110EW0012,Count,Person,"Pob categori: Diwydiant, 65 i 74 oed"
WP6110EW0013,Count,Person,"A, B, D, E Amaethyddiaeth, ynni a dŵr, Pob categori: 16 i 74 oed"
WP6110EW0014,Count,Person,"A, B, D, E Amaethyddiaeth, ynni a dŵr, 16 i 19 oed"
WP6110EW0015,Count,Person,"A, B, D, E Amaethyddiaeth, ynni a dŵr, 20 i 24 oed"
WP6110EW0016,Count,Person,"A, B, D, E Amaethyddiaeth, ynni a dŵr, 25 i 29 oed"
WP6110EW0017,Count,Person,"A, B, D, E Amaethyddiaeth, ynni a dŵr, 30 i 34 oed"
WP6110EW0018,Count,Person,"A, B, D, E Amaethyddiaeth, ynni a dŵr, 35 i 39 oed"
WP6110EW0019,Count,Person,"A, B, D, E Amaethyddiaeth, ynni a dŵr, 40 i 44 oed"
WP6110EW0020,Count,Person,"A, B, D, E Amaethyddiaeth, ynni a dŵr, 45 i 49 oed"
WP6110EW0021,Count,Person,"A, B, D, E Amaethyddiaeth, ynni a dŵr, 50 i 54 oed"
WP6110EW0022,Count,Person,"A, B, D, E Amaethyddiaeth, ynni a dŵr, 55 i 59 oed"
WP6110EW0023,Count,Person,"A, B, D, E Amaethyddiaeth, ynni a dŵr, 60 i 64 oed"
WP6110EW0024,Count,Person,"A, B, D, E Amaethyddiaeth, ynni a dŵr, 65 i 74 oed"
WP6110EW0025,Count,Person,"C Gweithgynhyrchu, Pob categori: 16 i 74 oed"
WP6110EW0026,Count,Person,"C Gweithgynhyrchu, 16 i 19 oed"
WP6110EW0027,Count,Person,"C Gweithgynhyrchu, 20 i 24 oed"
WP6110EW0028,Count,Person,"C Gweithgynhyrchu, 25 i 29 oed"
WP6110EW0029,Count,Person,"C Gweithgynhyrchu, 30 i 34 oed"
WP6110EW0030,Count,Person,"C Gweithgynhyrchu, 35 i 39 oed"
WP6110EW0031,Count,Person,"C Gweithgynhyrchu, 40 i 44 oed"
WP6110EW0032,Count,Person,"C Gweithgynhyrchu, 45 i 49 oed"
WP6110EW0033,Count,Person,"C Gweithgynhyrchu, 50 i 54 oed"
WP6110EW0034,Count,Person,"C Gweithgynhyrchu, 55 i 59 oed"
WP6110EW0035,Count,Person,"C Gweithgynhyrchu, 60 i 64 oed"
WP6110EW0036,Count,Person,"C Gweithgynhyrchu, 65 i 74 oed"
WP6110EW0037,Count,Person,"F Adeiladu, Pob categori: 16 i 74 oed"
WP6110EW0038,Count,Person,"F Adeiladu, 16 i 19 oed"
WP6110EW0039,Count,Person,"F Adeiladu, 20 i 24 oed"
WP6110EW0040,Count,Person,"F Adeiladu, 25 i 29 oed"
WP6110EW0041,Count,Person,"F Adeiladu, 30 i 34 oed"
WP6110EW0042,Count,Person,"F Adeiladu, 35 i 39 oed"
WP6110EW0043,Count,Person,"F Adeiladu, 40 i 44 oed"
WP6110EW0044,Count,Person,"F Adeiladu, 45 i 49 oed"
WP6110EW0045,Count,Person,"F Adeiladu, 50 i 54 oed"
WP6110EW0046,Count,Person,"F Adeiladu, 55 i 59 oed"
WP6110EW0047,Count,Person,"F Adeiladu, 60 i 64 oed"
WP6110EW0048,Count,Person,"F Adeiladu, 65 i 74 oed"
WP6110EW0049,Count,Person,"G, I Dosbarthu, gwestai a bwytai, Pob categori: 16 i 74 oed"
WP6110EW0050,Count,Person,"G, I Dosbarthu, gwestai a bwytai, 16 i 19 oed"
WP6110EW0051,Count,Person,"G, I Dosbarthu, gwestai a bwytai, 20 i 24 oed"
WP6110EW0052,Count,Person,"G, I Dosbarthu, gwestai a bwytai, 25 i 29 oed"
WP6110EW0053,Count,Person,"G, I Dosbarthu, gwestai a bwytai, 30 i 34 oed"
WP6110EW0054,Count,Person,"G, I Dosbarthu, gwestai a bwytai, 35 i 39 oed"
WP6110EW0055,Count,Person,"G, I Dosbarthu, gwestai a bwytai, 40 i 44 oed"
WP6110EW0056,Count,Person,"G, I Dosbarthu, gwestai a bwytai, 45 i 49 oed"
WP6110EW0057,Count,Person,"G, I Dosbarthu, gwestai a bwytai, 50 i 54 oed"
WP6110EW0058,Count,Person,"G, I Dosbarthu, gwestai a bwytai, 55 i 59 oed"
WP6110EW0059,Count,Person,"G, I Dosbarthu, gwestai a bwytai, 60 i 64 oed"
WP6110EW0060,Count,Person,"G, I Dosbarthu, gwestai a bwytai, 65 i 74 oed"
WP6110EW0061,Count,Person,"H, J Trafnidiaeth a chyfathrebu, Pob categori: 16 i 74 oed"
WP6110EW0062,Count,Person,"H, J Trafnidiaeth a chyfathrebu, 16 i 19 oed"
WP6110EW0063,Count,Person,"H, J Trafnidiaeth a chyfathrebu, 20 i 24 oed"
WP6110EW0064,Count,Person,"H, J Trafnidiaeth a chyfathrebu, 25 i 29 oed"
WP6110EW0065,Count,Person,"H, J Trafnidiaeth a chyfathrebu, 30 i 34 oed"
WP6110EW0066,Count,Person,"H, J Trafnidiaeth a chyfathrebu, 35 i 39 oed"
WP6110EW0067,Count,Person,"H, J Trafnidiaeth a chyfathrebu, 40 i 44 oed"
WP6110EW0068,Count,Person,"H, J Trafnidiaeth a chyfathrebu, 45 i 49 oed"
WP6110EW0069,Count,Person,"H, J Trafnidiaeth a chyfathrebu, 50 i 54 oed"
WP6110EW0070,Count,Person,"H, J Trafnidiaeth a chyfathrebu, 55 i 59 oed"
WP6110EW0071,Count,Person,"H, J Trafnidiaeth a chyfathrebu, 60 i 64 oed"
WP6110EW0072,Count,Person,"H, J Trafnidiaeth a chyfathrebu, 65 i 74 oed"
WP6110EW0073,Count,Person,"K, L, M, N Gweithgareddau Ariannol, Eiddo Tiriog, Proffesiynol a Gweinyddol, Pob categori: 16 i 74 oed"
WP6110EW0074,Count,Person,"K, L, M, N Gweithgareddau Ariannol, Eiddo Tiriog, Proffesiynol a Gweinyddol, 16 i 19 oed"
WP6110EW0075,Count,Person,"K, L, M, N Gweithgareddau Ariannol, Eiddo Tiriog, Proffesiynol a Gweinyddol, 20 i 24 oed"
WP6110EW0076,Count,Person,"K, L, M, N Gweithgareddau Ariannol, Eiddo Tiriog, Proffesiynol a Gweinyddol, 25 i 29 oed"
WP6110EW0077,Count,Person,"K, L, M, N Gweithgareddau Ariannol, Eiddo Tiriog, Proffesiynol a Gweinyddol, 30 i 34 oed"
WP6110EW0078,Count,Person,"K, L, M, N Gweithgareddau Ariannol, Eiddo Tiriog, Proffesiynol a Gweinyddol, 35 i 39 oed"
WP6110EW0079,Count,Person,"K, L, M, N Gweithgareddau Ariannol, Eiddo Tiriog, Proffesiynol a Gweinyddol, 40 i 44 oed"
WP6110EW0080,Count,Person,"K, L, M, N Gweithgareddau Ariannol, Eiddo Tiriog, Proffesiynol a Gweinyddol, 45 i 49 oed"
WP6110EW0081,Count,Person,"K, L, M, N Gweithgareddau Ariannol, Eiddo Tiriog, Proffesiynol a Gweinyddol, 50 i 54 oed"
WP6110EW0082,Count,Person,"K, L, M, N Gweithgareddau Ariannol, Eiddo Tiriog, Proffesiynol a Gweinyddol, 55 i 59 oed"
WP6110EW0083,Count,Person,"K, L, M, N Gweithgareddau Ariannol, Eiddo Tiriog, Proffesiynol a Gweinyddol, 60 i 64 oed"
WP6110EW0084,Count,Person,"K, L, M, N Gweithgareddau Ariannol, Eiddo Tiriog, Proffesiynol a Gweinyddol, 65 i 74 oed"
WP6110EW0085,Count,Person,"O, P, Q Gweinyddiaeth gyhoeddus, addysg ac iechyd, Pob categori: 16 i 74 oed"
WP6110EW0086,Count,Person,"O, P, Q Gweinyddiaeth gyhoeddus, addysg ac iechyd, 16 i 19 oed"
WP6110EW0087,Count,Person,"O, P, Q Gweinyddiaeth gyhoeddus, addysg ac iechyd, 20 i 24 oed"
WP6110EW0088,Count,Person,"O, P, Q Gweinyddiaeth gyhoeddus, addysg ac iechyd, 25 i 29 oed"
WP6110EW0089,Count,Person,"O, P, Q Gweinyddiaeth gyhoeddus, addysg ac iechyd, 30 i 34 oed"
WP6110EW0090,Count,Person,"O, P, Q Gweinyddiaeth gyhoeddus, addysg ac iechyd, 35 i 39 oed"
WP6110EW0091,Count,Person,"O, P, Q Gweinyddiaeth gyhoeddus, addysg ac iechyd, 40 i 44 oed"
WP6110EW0092,Count,Person,"O, P, Q Gweinyddiaeth gyhoeddus, addysg ac iechyd, 45 i 49 oed"
WP6110EW0093,Count,Person,"O, P, Q Gweinyddiaeth gyhoeddus, addysg ac iechyd, 50 i 54 oed"
WP6110EW0094,Count,Person,"O, P, Q Gweinyddiaeth gyhoeddus, addysg ac iechyd, 55 i 59 oed"
WP6110EW0095,Count,Person,"O, P, Q Gweinyddiaeth gyhoeddus, addysg ac iechyd, 60 i 64 oed"
WP6110EW0096,Count,Person,"O, P, Q Gweinyddiaeth gyhoeddus, addysg ac iechyd, 65 i 74 oed"
WP6110EW0097,Count,Person,"R, S, T, U Arall, Pob categori: 16 i 74 oed"
WP6110EW0098,Count,Person,"R, S, T, U Arall, 16 i 19 oed"
WP6110EW0099,Count,Person,"R, S, T, U Arall, 20 i 24 oed"
WP6110EW0100,Count,Person,"R, S, T, U Arall, 25 i 29 oed"
WP6110EW0101,Count,Person,"R, S, T, U Arall, 30 i 34 oed"
WP6110EW0102,Count,Person,"R, S, T, U Arall, 35 i 39 oed"
WP6110EW0103,Count,Person,"R, S, T, U Arall, 40 i 44 oed"
WP6110EW0104,Count,Person,"R, S, T, U Arall, 45 i 49 oed"
WP6110EW0105,Count,Person,"R, S, T, U Arall, 50 i 54 oed"
WP6110EW0106,Count,Person,"R, S, T, U Arall, 55 i 59 oed"
WP6110EW0107,Count,Person,"R, S, T, U Arall, 60 i 64 oed"
WP6110EW0108,Count,Person,"R, S, T, U Arall, 65 i 74 oed"
